ENTRY,NAME,FORMULA,MASS,M.plus.H,M.minus.H,Biofluid
HMDB07149 ," DG(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07150 ," DG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Blood
HMDB07151 , DG(16:1(9Z)/24:0/0:0) , C43H82O5,678.616,679.623276,677.608724,Blood
HMDB07152 , DG(16:1(9Z)/24:1(15Z)/0:0) , C43H80O5,676.601,677.608276,675.593724,Blood
HMDB07153 , DG(18:0/14:0/0:0) , C35H68O5,568.507,569.514276,567.499724,Blood
HMDB07154 , DG(18:0/14:1(9Z)/0:0) , C35H66O5,566.491,567.498276,565.483724,Blood
HMDB07155 , DG(18:0/15:0/0:0) , C36H70O5,582.522,583.529276,581.514724,Blood
HMDB07156 , DG(18:0/16:0/0:0) , C37H72O5,596.538,597.545276,595.530724,Blood
HMDB07157 , DG(18:0/16:1(9Z)/0:0) , C37H70O5,594.522,595.529276,593.514724,Blood
HMDB07158 , DG(18:0/18:0/0:0) , C39H76O5,624.569,625.576276,623.561724,Blood
HMDB07159 , DG(18:0/18:1(11Z)/0:0) , C39H74O5,622.554,623.561276,621.546724,Blood
HMDB07160 , DG(18:0/18:1(9Z)/0:0) , C39H74O5,622.554,623.561276,621.546724,Blood
HMDB07161 ," DG(18:0/18:2(9Z,12Z)/0:0) ", C39H72O5,620.538,621.545276,619.530724,Blood
HMDB07162 ," DG(18:0/18:3(6Z,9Z,12Z)/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07163 ," DG(18:0/18:3(9Z,12Z,15Z)/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07164 ," DG(18:0/18:4(6Z,9Z,12Z,15Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07165 , DG(18:0/20:0/0:0) , C41H80O5,652.601,653.608276,651.593724,Blood
HMDB07166 , DG(18:0/20:1(11Z)/0:0) , C41H78O5,650.585,651.592276,649.577724,Blood
HMDB07167 ," DG(18:0/20:2(11Z,14Z)/0:0) ", C41H76O5,648.569,649.576276,647.561724,Blood
HMDB07168 ," DG(18:0/20:3(5Z,8Z,11Z)/0:0) ", C41H74O5,646.554,647.561276,645.546724,Blood
HMDB07169 ," DG(18:0/20:3(8Z,11Z,14Z)/0:0) ", C41H74O5,646.554,647.561276,645.546724,Blood
HMDB07170 ," DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07171 ," DG(18:0/20:4(8Z,11Z,14Z,17Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07172 ," DG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07173 , DG(18:0/22:0/0:0) , C43H84O5,680.632,681.639276,679.624724,Blood
HMDB07174 , DG(18:0/22:1(13Z)/0:0) , C43H82O5,678.616,679.623276,677.608724,Blood
HMDB07175 ," DG(18:0/22:2(13Z,16Z)/0:0) ", C43H80O5,676.601,677.608276,675.593724,Blood
HMDB07176 ," DG(18:0/22:4(7Z,10Z,13Z,16Z)/0:0) ", C43H76O5,672.569,673.576276,671.561724,Blood
HMDB07177 ," DG(18:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) ", C43H74O5,670.554,671.561276,669.546724,Blood
HMDB07178 ," DG(18:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H74O5,670.554,671.561276,669.546724,Blood
HMDB07179 ," DG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H72O5,668.538,669.545276,667.530724,Blood
HMDB07180 , DG(18:0/24:0/0:0) , C45H88O5,708.663,709.670276,707.655724,Blood
HMDB07181 , DG(18:0/24:1(15Z)/0:0) , C45H86O5,706.648,707.655276,705.640724,Blood
HMDB11147 , DG(18:0e/2:0/0:0) , C23H46O4,386.34,387.347276,385.332724,Not Available
HMDB07182 , DG(18:1(11Z)/14:0/0:0) , C35H66O5,566.491,567.498276,565.483724,Blood
HMDB07183 , DG(18:1(11Z)/14:1(9Z)/0:0) , C35H64O5,564.475,565.482276,563.467724,Blood
HMDB07184 , DG(18:1(11Z)/15:0/0:0) , C36H68O5,580.507,581.514276,579.499724,Blood
HMDB07185 , DG(18:1(11Z)/16:0/0:0) , C37H70O5,594.522,595.529276,593.514724,Blood
HMDB07186 , DG(18:1(11Z)/16:1(9Z)/0:0) , C37H68O5,592.507,593.514276,591.499724,Blood
HMDB07187 , DG(18:1(11Z)/18:0/0:0) , C39H74O5,622.554,623.561276,621.546724,Blood
HMDB07188 , DG(18:1(11Z)/18:1(11Z)/0:0) , C39H72O5,620.538,621.545276,619.530724,Blood
HMDB07189 , DG(18:1(11Z)/18:1(9Z)/0:0) , C39H72O5,620.538,621.545276,619.530724,Blood
HMDB07190 ," DG(18:1(11Z)/18:2(9Z,12Z)/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07191 ," DG(18:1(11Z)/18:3(6Z,9Z,12Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07192 ," DG(18:1(11Z)/18:3(9Z,12Z,15Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07193 ," DG(18:1(11Z)/18:4(6Z,9Z,12Z,15Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07194 , DG(18:1(11Z)/20:0/0:0) , C41H78O5,650.585,651.592276,649.577724,Blood
HMDB07195 , DG(18:1(11Z)/20:1(11Z)/0:0) , C41H76O5,648.569,649.576276,647.561724,Blood
HMDB07196 ," DG(18:1(11Z)/20:2(11Z,14Z)/0:0) ", C41H74O5,646.554,647.561276,645.546724,Blood
HMDB07197 ," DG(18:1(11Z)/20:3(5Z,8Z,11Z)/0:0) ", C43H76O5,672.569,673.576276,671.561724,Blood
HMDB07198 ," DG(18:1(11Z)/20:3(8Z,11Z,14Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07199 ," DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07200 ," DG(18:1(11Z)/20:4(8Z,11Z,14Z,17Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07201 ," DG(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07202 , DG(18:1(11Z)/22:0/0:0) , C43H82O5,678.616,679.623276,677.608724,Blood
HMDB07203 , DG(18:1(11Z)/22:1(13Z)/0:0) , C43H80O5,676.601,677.608276,675.593724,Blood
HMDB07204 ," DG(18:1(11Z)/22:2(13Z,16Z)/0:0) ", C43H78O5,674.585,675.592276,673.577724,Blood
HMDB07205 ," DG(18:1(11Z)/22:4(7Z,10Z,13Z,16Z)/0:0) ", C43H74O5,670.554,671.561276,669.546724,Blood
HMDB07206 ," DG(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) ", C43H72O5,668.538,669.545276,667.530724,Blood
HMDB07207 ," DG(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H72O5,668.538,669.545276,667.530724,Blood
HMDB07208 ," DG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H70O5,666.522,667.529276,665.514724,Blood
HMDB07209 , DG(18:1(11Z)/24:0/0:0) , C45H86O5,706.648,707.655276,705.640724,Blood
HMDB07210 , DG(18:1(11Z)/24:1(15Z)/0:0) , C45H84O5,704.632,705.639276,703.624724,Blood
HMDB07211 , DG(18:1(9Z)/14:0/0:0) , C35H66O5,566.491,567.498276,565.483724,Blood
HMDB07212 , DG(18:1(9Z)/14:1(9Z)/0:0) , C35H64O5,564.475,565.482276,563.467724,Blood
HMDB07213 , DG(18:1(9Z)/15:0/0:0) , C36H68O5,580.507,581.514276,579.499724,Blood
HMDB07214 , DG(18:1(9Z)/16:0/0:0) , C37H70O5,594.522,595.529276,593.514724,Blood
HMDB07215 , DG(18:1(9Z)/16:1(9Z)/0:0) , C37H68O5,592.507,593.514276,591.499724,Blood
HMDB07216 , DG(18:1(9Z)/18:0/0:0) , C39H74O5,622.554,623.561276,621.546724,Blood
HMDB07217 , DG(18:1(9Z)/18:1(11Z)/0:0) , C39H72O5,620.538,621.545276,619.530724,Blood
HMDB07218 , DG(18:1(9Z)/18:1(9Z)/0:0) , C39H72O5,620.538,621.545276,619.530724,Blood
HMDB07219 ," DG(18:1(9Z)/18:2(9Z,12Z)/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07220 ," DG(18:1(9Z)/18:3(6Z,9Z,12Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07221 ," DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07222 ," DG(18:1(9Z)/18:4(6Z,9Z,12Z,15Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07223 , DG(18:1(9Z)/20:0/0:0) , C41H78O5,650.585,651.592276,649.577724,Blood
HMDB07224 , DG(18:1(9Z)/20:1(11Z)/0:0) , C41H76O5,648.569,649.576276,647.561724,Blood
HMDB07225 ," DG(18:1(9Z)/20:2(11Z,14Z)/0:0) ", C41H74O5,646.554,647.561276,645.546724,Blood
HMDB07226 ," DG(18:1(9Z)/20:3(5Z,8Z,11Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07227 ," DG(18:1(9Z)/20:3(8Z,11Z,14Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07228 ," DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07229 ," DG(18:1(9Z)/20:4(8Z,11Z,14Z,17Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07230 ," DG(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07231 , DG(18:1(9Z)/22:0/0:0) , C43H82O5,678.616,679.623276,677.608724,Blood
HMDB07232 , DG(18:1(9Z)/22:1(13Z)/0:0) , C43H80O5,676.601,677.608276,675.593724,Blood
HMDB07233 ," DG(18:1(9Z)/22:2(13Z,16Z)/0:0) ", C43H78O5,674.585,675.592276,673.577724,Blood
HMDB07234 ," DG(18:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0) ", C43H74O5,670.554,671.561276,669.546724,Blood
HMDB07235 ," DG(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) ", C43H72O5,668.538,669.545276,667.530724,Blood
HMDB07236 ," DG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H72O5,668.538,669.545276,667.530724,Blood
HMDB07237 ," DG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H70O5,666.522,667.529276,665.514724,Blood
HMDB07238 , DG(18:1(9Z)/24:0/0:0) , C45H86O5,706.648,707.655276,705.640724,Blood
HMDB07239 , DG(18:1(9Z)/24:1(15Z)/0:0) , C45H84O5,704.632,705.639276,703.624724,Blood
HMDB07240 ," DG(18:2(9Z,12Z)/14:0/0:0) ", C35H64O5,564.475,565.482276,563.467724,Blood
HMDB07241 ," DG(18:2(9Z,12Z)/14:1(9Z)/0:0) ", C35H62O5,562.46,563.467276,561.452724,Blood
HMDB07242 ," DG(18:2(9Z,12Z)/15:0/0:0) ", C36H66O5,578.491,579.498276,577.483724,Blood
HMDB07243 ," DG(18:2(9Z,12Z)/16:0/0:0) ", C37H68O5,592.507,593.514276,591.499724,Blood
HMDB07244 ," DG(18:2(9Z,12Z)/16:1(9Z)/0:0) ", C37H66O5,590.491,591.498276,589.483724,Blood
HMDB07245 ," DG(18:2(9Z,12Z)/18:0/0:0) ", C39H72O5,620.538,621.545276,619.530724,Blood
HMDB07246 ," DG(18:2(9Z,12Z)/18:1(11Z)/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07247 ," DG(18:2(9Z,12Z)/18:1(9Z)/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07248 ," DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07249 ," DG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07250 ," DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07251 ," DG(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z)/0:0) ", C39H64O5,612.475,613.482276,611.467724,Not Available
HMDB07252 ," DG(18:2(9Z,12Z)/20:0/0:0) ", C41H76O5,648.569,649.576276,647.561724,Blood
HMDB07253 ," DG(18:2(9Z,12Z)/20:1(11Z)/0:0) ", C41H74O5,646.554,647.561276,645.546724,Blood
HMDB07254 ," DG(18:2(9Z,12Z)/20:2(11Z,14Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07255 ," DG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07256 ," DG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07257 ," DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07258 ," DG(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07259 ," DG(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Blood
HMDB07260 ," DG(18:2(9Z,12Z)/22:0/0:0) ", C43H80O5,676.601,677.608276,675.593724,Blood
HMDB07261 ," DG(18:2(9Z,12Z)/22:1(13Z)/0:0) ", C43H78O5,674.585,675.592276,673.577724,Blood
HMDB07262 ," DG(18:2(9Z,12Z)/22:2(13Z,16Z)/0:0) ", C43H76O5,672.569,673.576276,671.561724,Blood
HMDB07263 ," DG(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z)/0:0) ", C43H72O5,668.538,669.545276,667.530724,Blood
HMDB07264 ," DG(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) ", C43H70O5,666.522,667.529276,665.514724,Blood
HMDB07265 ," DG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H70O5,666.522,667.529276,665.514724,Blood
HMDB07266 ," DG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H68O5,664.507,665.514276,663.499724,Blood
HMDB07267 ," DG(18:2(9Z,12Z)/24:0/0:0) ", C45H84O5,704.632,705.639276,703.624724,Blood
HMDB07268 ," DG(18:2(9Z,12Z)/24:1(15Z)/0:0) ", C45H82O5,702.616,703.623276,701.608724,Blood
HMDB07269 ," DG(18:3(6Z,9Z,12Z)/14:0/0:0) ", C35H62O5,562.46,563.467276,561.452724,Blood
HMDB07270 ," DG(18:3(6Z,9Z,12Z)/14:1(9Z)/0:0) ", C35H60O5,560.444,561.451276,559.436724,Blood
HMDB07271 ," DG(18:3(6Z,9Z,12Z)/15:0/0:0) ", C36H64O5,576.475,577.482276,575.467724,Blood
HMDB07272 ," DG(18:3(6Z,9Z,12Z)/16:0/0:0) ", C37H66O5,590.491,591.498276,589.483724,Blood
HMDB07273 ," DG(18:3(6Z,9Z,12Z)/16:1(9Z)/0:0) ", C37H64O5,588.475,589.482276,587.467724,Blood
HMDB07274 ," DG(18:3(6Z,9Z,12Z)/18:0/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07275 ," DG(18:3(6Z,9Z,12Z)/18:1(11Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07276 ," DG(18:3(6Z,9Z,12Z)/18:1(9Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07277 ," DG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07278 ," DG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)/0:0) ", C39H64O5,612.475,613.482276,611.467724,Blood
HMDB07279 ," DG(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z)/0:0) ", C39H64O5,612.475,613.482276,611.467724,Blood
HMDB07280 ," DG(18:3(6Z,9Z,12Z)/18:4(6Z,9Z,12Z,15Z)/0:0) ", C39H62O5,610.46,611.467276,609.452724,Not Available
HMDB07281 ," DG(18:3(6Z,9Z,12Z)/20:0/0:0) ", C41H74O5,646.554,647.561276,645.546724,Blood
HMDB07282 ," DG(18:3(6Z,9Z,12Z)/20:1(11Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07283 ," DG(18:3(6Z,9Z,12Z)/20:2(11Z,14Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07284 ," DG(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07285 ," DG(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07286 ," DG(18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Blood
HMDB07287 ," DG(18:3(6Z,9Z,12Z)/20:4(8Z,11Z,14Z,17Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Blood
HMDB07288 ," DG(18:3(6Z,9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) ", C41H64O5,636.475,637.482276,635.467724,Blood
HMDB07289 ," DG(18:3(6Z,9Z,12Z)/22:0/0:0) ", C43H78O5,674.585,675.592276,673.577724,Blood
HMDB07290 ," DG(18:3(6Z,9Z,12Z)/22:1(13Z)/0:0) ", C43H76O5,672.569,673.576276,671.561724,Blood
HMDB07291 ," DG(18:3(6Z,9Z,12Z)/22:2(13Z,16Z)/0:0) ", C43H74O5,670.554,671.561276,669.546724,Blood
HMDB07292 ," DG(18:3(6Z,9Z,12Z)/22:4(7Z,10Z,13Z,16Z)/0:0) ", C43H70O5,666.522,667.529276,665.514724,Blood
HMDB07293 ," DG(18:3(6Z,9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) ", C43H68O5,664.507,665.514276,663.499724,Blood
HMDB07294 ," DG(18:3(6Z,9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H68O5,664.507,665.514276,663.499724,Blood
HMDB07295 ," DG(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H66O5,662.491,663.498276,661.483724,Blood
HMDB07296 ," DG(18:3(6Z,9Z,12Z)/24:0/0:0) ", C45H82O5,702.616,703.623276,701.608724,Blood
HMDB07297 ," DG(18:3(6Z,9Z,12Z)/24:1(15Z)/0:0) ", C45H80O5,700.601,701.608276,699.593724,Blood
HMDB07298 ," DG(18:3(9Z,12Z,15Z)/14:0/0:0) ", C35H62O5,562.46,563.467276,561.452724,Blood
HMDB07299 ," DG(18:3(9Z,12Z,15Z)/14:1(9Z)/0:0) ", C35H60O5,560.444,561.451276,559.436724,Blood
HMDB07300 ," DG(18:3(9Z,12Z,15Z)/15:0/0:0) ", C36H64O5,576.475,577.482276,575.467724,Blood
HMDB07301 ," DG(18:3(9Z,12Z,15Z)/16:0/0:0) ", C37H66O5,590.491,591.498276,589.483724,Blood
HMDB07302 ," DG(18:3(9Z,12Z,15Z)/16:1(9Z)/0:0) ", C37H64O5,588.475,589.482276,587.467724,Blood
HMDB07303 ," DG(18:3(9Z,12Z,15Z)/18:0/0:0) ", C39H70O5,618.522,619.529276,617.514724,Blood
HMDB07304 ," DG(18:3(9Z,12Z,15Z)/18:1(11Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07305 ," DG(18:3(9Z,12Z,15Z)/18:1(9Z)/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07306 ," DG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07307 ," DG(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z)/0:0) ", C39H64O5,612.475,613.482276,611.467724,Blood
HMDB07308 ," DG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/0:0) ", C39H64O5,612.475,613.482276,611.467724,Blood
HMDB07309 ," DG(18:3(9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z)/0:0) ", C39H62O5,610.46,611.467276,609.452724,Not Available
HMDB07310 ," DG(18:3(9Z,12Z,15Z)/20:0/0:0) ", C41H74O5,646.554,647.561276,645.546724,Blood
HMDB07311 ," DG(18:3(9Z,12Z,15Z)/20:1(11Z)/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07312 ," DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07313 ," DG(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07314 ," DG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07315 ," DG(18:3(9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Blood
HMDB07316 ," DG(18:3(9Z,12Z,15Z)/20:4(8Z,11Z,14Z,17Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Blood
HMDB07317 ," DG(18:3(9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) ", C41H64O5,636.475,637.482276,635.467724,Blood
HMDB07318 ," DG(18:3(9Z,12Z,15Z)/22:0/0:0) ", C43H78O5,674.585,675.592276,673.577724,Blood
HMDB07319 ," DG(18:3(9Z,12Z,15Z)/22:1(13Z)/0:0) ", C43H76O5,672.569,673.576276,671.561724,Blood
HMDB07320 ," DG(18:3(9Z,12Z,15Z)/22:2(13Z,16Z)/0:0) ", C43H74O5,670.554,671.561276,669.546724,Blood
HMDB07321 ," DG(18:3(9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z)/0:0) ", C43H70O5,666.522,667.529276,665.514724,Blood
HMDB07322 ," DG(18:3(9Z,12Z,15Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0) ", C43H68O5,664.507,665.514276,663.499724,Blood
HMDB07323 ," DG(18:3(9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H68O5,664.507,665.514276,663.499724,Blood
HMDB07324 ," DG(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0) ", C43H66O5,662.491,663.498276,661.483724,Blood
HMDB07325 ," DG(18:3(9Z,12Z,15Z)/24:0/0:0) ", C45H82O5,702.616,703.623276,701.608724,Blood
HMDB07326 ," DG(18:3(9Z,12Z,15Z)/24:1(15Z)/0:0) ", C45H80O5,700.601,701.608276,699.593724,Blood
HMDB07327 ," DG(18:4(6Z,9Z,12Z,15Z)/14:0/0:0) ", C35H60O5,560.444,561.451276,559.436724,Not Available
HMDB07328 ," DG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/0:0) ", C35H58O5,558.428,559.435276,557.420724,Not Available
HMDB07329 ," DG(18:4(6Z,9Z,12Z,15Z)/15:0/0:0) ", C36H62O5,574.46,575.467276,573.452724,Not Available
HMDB07330 ," DG(18:4(6Z,9Z,12Z,15Z)/16:0/0:0) ", C37H64O5,588.475,589.482276,587.467724,Blood
HMDB07331 ," DG(18:4(6Z,9Z,12Z,15Z)/16:1(9Z)/0:0) ", C37H62O5,586.46,587.467276,585.452724,Not Available
HMDB07332 ," DG(18:4(6Z,9Z,12Z,15Z)/18:0/0:0) ", C39H68O5,616.507,617.514276,615.499724,Blood
HMDB07333 ," DG(18:4(6Z,9Z,12Z,15Z)/18:1(11Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07334 ," DG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/0:0) ", C39H66O5,614.491,615.498276,613.483724,Blood
HMDB07335 ," DG(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z)/0:0) ", C39H64O5,612.475,613.482276,611.467724,Not Available
HMDB07336 ," DG(18:4(6Z,9Z,12Z,15Z)/18:3(6Z,9Z,12Z)/0:0) ", C39H62O5,610.46,611.467276,609.452724,Not Available
HMDB07337 ," DG(18:4(6Z,9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/0:0) ", C39H62O5,610.46,611.467276,609.452724,Not Available
HMDB07338 ," DG(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z)/0:0) ", C39H60O5,608.444,609.451276,607.436724,Not Available
HMDB07339 ," DG(18:4(6Z,9Z,12Z,15Z)/20:0/0:0) ", C41H72O5,644.538,645.545276,643.530724,Blood
HMDB07340 ," DG(18:4(6Z,9Z,12Z,15Z)/20:1(11Z)/0:0) ", C41H70O5,642.522,643.529276,641.514724,Blood
HMDB07341 ," DG(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z)/0:0) ", C41H68O5,640.507,641.514276,639.499724,Blood
HMDB07342 ," DG(18:4(6Z,9Z,12Z,15Z)/20:3(5Z,8Z,11Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Not Available
HMDB07343 ," DG(18:4(6Z,9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0) ", C41H66O5,638.491,639.498276,637.483724,Not Available
HMDB07344 ," DG(18:4(6Z,9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z)/0:0) ", C41H64O5,636.475,637.482276,635.467724,Not Available
HMDB07345 ," DG(18:4(6Z,9Z,12Z,15Z)/20:4(8Z,11Z,14Z,17Z)/0:0) ", C41H64O5,636.475,637.482276,635.467724,Not Available
HMDB07346 ," DG(18:4(6Z,9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0) ", C41H62O5,634.46,635.467276,633.452724,Not Available
HMDB07347 ," DG(18:4(6Z,9Z,12Z,15Z)/22:0/0:0) ", C43H76O5,672.569,673.576276,671.561724,Blood
HMDB07348 ," DG(18:4(6Z,9Z,12Z,15Z)/22:1(13Z)/0:0) ", C43H74O5,670.554,671.561276,669.546724,Not Available
HMDB07349 ," DG(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z)/0:0) ", C43H72O5,668.538,669.545276,667.530724,Blood
HMDB07350 ," DG(18:4(6Z,9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z)/0:0) ", C43H68O5,664.507,665.514276,663.499724,Not Available
